t,DOY,hour,air_temperature_init,air_temperature_v1,PARi,soil_temperature_init,soil_temperature_v1,humidity,ambient_CO2,Wind,SRWC,air_temperature,soil_temperature
107,352,9,7.2,20,269.3333333,6.001,19,0.8,400,2,85,19,16
108,352,10,7.7,20,448.8888889,6.203,19,0.8,400,2,85,20,15
109,352,11,7.6,20,606,6.433,19,0.8,400,2,85,20,15
110,352,12,5.2,20,740.6666667,5.84,19,0.8,400,2,85,20,15
111,352,13,5.6,20,729.4444444,6.264,19,0.8,400,2,85,20,15
112,352,14,4.8,20,606,5.415,19,0.8,400,2,85,20,15
113,352,15,3.6,20,381.5555556,6.223,19,0.8,400,2,85,20,15
114,352,16,3.5,20,101,5.957,19,0.8,400,2,85,20,15
115,352,17,3.6,20,0,5.733,19,0.8,400,2,85,20,15
116,352,18,3.7,20,0,5.59,19,0.8,400,2,85,20,15
117,352,19,3.9,20,0,5.511,19,0.8,400,2,85,20,15
118,352,20,3.9,20,0,5.48,19,0.8,400,2,85,19,15
119,352,21,4.4,20,0,5.455,19,0.8,400,2,85,18,16
120,352,22,4.7,20,0,5.45,19,0.8,400,2,85,17,17
121,352,23,4.4,15,0,5.466,14,0.8,400,2,85,16,18
122,352,24,4.3,15,0,5.445,14,0.8,400,2,85,15,19
123,353,1,4.5,15,0,5.385,14,0.8,400,2,85,15,20
124,353,2,4.5,15,0,5.346,14,0.8,400,2,85,15,20
125,353,3,5.1,15,0,5.347,14,0.8,400,2,85,15,20
126,353,4,5.5,15,0,5.401,14,0.8,400,2,85,15,20
127,353,5,5.8,15,0,5.489,14,0.8,400,2,85,15,20
128,353,6,6.2,15,0,5.6,14,0.8,400,2,85,16,19
129,353,7,6.6,20,0,5.712,19,0.8,400,2,85,17,18
130,353,8,7.1,20,11.22222222,5.84,19,0.8,400,2,85,18,17
131,353,9,7.2,20,269.3333333,6.001,19,0.8,400,2,85,19,16
132,353,10,7.7,20,448.8888889,6.203,19,0.8,400,2,85,20,15
133,353,11,7.6,20,606,6.433,19,0.8,400,2,85,20,15
134,353,12,5.2,20,740.6666667,5.84,19,0.8,400,2,85,20,15
135,353,13,5.6,20,729.4444444,6.264,19,0.8,400,2,85,20,15
136,353,14,4.8,20,606,5.415,19,0.8,400,2,85,20,15
137,353,15,3.6,20,381.5555556,6.223,19,0.8,400,2,85,20,15
138,353,16,3.5,20,101,5.957,19,0.8,400,2,85,20,15
139,353,17,3.6,20,0,5.733,19,0.8,400,2,85,20,15
140,353,18,3.7,20,0,5.59,19,0.8,400,2,85,20,15
141,353,19,3.9,20,0,5.511,19,0.8,400,2,85,20,15
142,353,20,3.9,20,0,5.48,19,0.8,400,2,85,19,15
143,353,21,4.4,20,0,5.455,19,0.8,400,2,85,18,16
144,353,22,4.7,20,0,5.45,19,0.8,400,2,85,17,17
145,353,23,4.4,15,0,5.466,14,0.8,400,2,85,16,18
146,353,24,4.3,15,0,5.445,14,0.8,400,2,85,15,19
147,354,1,4.5,15,0,5.385,14,0.8,400,2,85,15,20
148,354,2,4.5,15,0,5.346,14,0.8,400,2,85,15,20
149,354,3,5.1,15,0,5.347,14,0.8,400,2,85,15,20
150,354,4,5.5,15,0,5.401,14,0.8,400,2,85,15,20
151,354,5,5.8,15,0,5.489,14,0.8,400,2,85,15,20
152,354,6,6.2,15,0,5.6,14,0.8,400,2,85,16,19
153,354,7,6.6,20,0,5.712,19,0.8,400,2,85,17,18
154,354,8,7.1,20,11.22222222,5.84,19,0.8,400,2,85,18,17
155,354,9,7.2,20,269.3333333,6.001,19,0.8,400,2,85,19,16
156,354,10,7.7,20,448.8888889,6.203,19,0.8,400,2,85,20,15
157,354,11,7.6,20,606,6.433,19,0.8,400,2,85,20,15
158,354,12,5.2,20,740.6666667,5.84,19,0.8,400,2,85,20,15
159,354,13,5.6,20,729.4444444,6.264,19,0.8,400,2,85,20,15
160,354,14,4.8,20,606,5.415,19,0.8,400,2,85,20,15
161,354,15,3.6,20,381.5555556,6.223,19,0.8,400,2,85,20,15
162,354,16,3.5,20,101,5.957,19,0.8,400,2,85,20,15
163,354,17,3.6,20,0,5.733,19,0.8,400,2,85,20,15
164,354,18,3.7,20,0,5.59,19,0.8,400,2,85,20,15
165,354,19,3.9,20,0,5.511,19,0.8,400,2,85,20,15
166,354,20,3.9,20,0,5.48,19,0.8,400,2,85,19,15
167,354,21,4.4,20,0,5.455,19,0.8,400,2,85,18,16
168,354,22,4.7,20,0,5.45,19,0.8,400,2,85,17,17
169,354,23,4.4,15,0,5.466,14,0.8,400,2,85,16,18
170,354,24,4.3,15,0,5.445,14,0.8,400,2,85,15,19
171,355,1,4.5,15,0,5.385,14,0.8,400,2,85,15,20
172,355,2,4.5,15,0,5.346,14,0.8,400,2,85,15,20
173,355,3,5.1,15,0,5.347,14,0.8,400,2,85,15,20
174,355,4,5.5,15,0,5.401,14,0.8,400,2,85,15,20
175,355,5,5.8,15,0,5.489,14,0.8,400,2,85,15,20
176,355,6,6.2,15,0,5.6,14,0.8,400,2,85,16,19
177,355,7,6.6,20,0,5.712,19,0.8,400,2,85,17,18
178,355,8,7.1,20,11.22222222,5.84,19,0.8,400,2,85,18,17
179,355,9,7.2,20,269.3333333,6.001,19,0.8,400,2,85,19,16
180,355,10,7.7,20,448.8888889,6.203,19,0.8,400,2,85,20,15
181,355,11,7.6,20,606,6.433,19,0.8,400,2,85,20,15
182,355,12,5.2,20,740.6666667,5.84,19,0.8,400,2,85,20,15
183,355,13,5.6,20,729.4444444,6.264,19,0.8,400,2,85,20,15
184,355,14,4.8,20,606,5.415,19,0.8,400,2,85,20,15
185,355,15,3.6,20,381.5555556,6.223,19,0.8,400,2,85,20,15
186,355,16,3.5,20,101,5.957,19,0.8,400,2,85,20,15
187,355,17,3.6,20,0,5.733,19,0.8,400,2,85,20,15
188,355,18,3.7,20,0,5.59,19,0.8,400,2,85,20,15
189,355,19,3.9,20,0,5.511,19,0.8,400,2,85,20,15
190,355,20,3.9,20,0,5.48,19,0.8,400,2,85,19,15
191,355,21,4.4,20,0,5.455,19,0.8,400,2,85,18,16
192,355,22,4.7,20,0,5.45,19,0.8,400,2,85,17,17
193,355,23,4.4,15,0,5.466,14,0.8,400,2,85,16,18
194,355,24,4.3,15,0,5.445,14,0.8,400,2,85,15,19
195,356,1,4.5,15,0,5.385,14,0.8,400,2,85,15,20
196,356,2,4.5,15,0,5.346,14,0.8,400,2,85,15,20
197,356,3,5.1,15,0,5.347,14,0.8,400,2,85,15,20
198,356,4,5.5,15,0,5.401,14,0.8,400,2,85,15,20
199,356,5,5.8,15,0,5.489,14,0.8,400,2,85,15,20
200,356,6,6.2,15,0,5.6,14,0.8,400,2,85,16,19
201,356,7,6.6,20,0,5.712,19,0.8,400,2,85,17,18
202,356,8,7.1,20,11.22222222,5.84,19,0.8,400,2,85,18,17
203,356,9,7.2,20,269.3333333,6.001,19,0.8,400,2,85,19,16
204,356,10,7.7,20,448.8888889,6.203,19,0.8,400,2,85,20,15
205,356,11,7.6,20,606,6.433,19,0.8,400,2,85,20,15
206,356,12,5.2,20,740.6666667,5.84,19,0.8,400,2,85,20,15
207,356,13,5.6,20,729.4444444,6.264,19,0.8,400,2,85,20,15
208,356,14,4.8,20,606,5.415,19,0.8,400,2,85,20,15
209,356,15,3.6,20,381.5555556,6.223,19,0.8,400,2,85,20,15
210,356,16,3.5,20,101,5.957,19,0.8,400,2,85,20,15
211,356,17,3.6,20,0,5.733,19,0.8,400,2,85,20,15
212,356,18,3.7,20,0,5.59,19,0.8,400,2,85,20,15
213,356,19,3.9,20,0,5.511,19,0.8,400,2,85,20,15
214,356,20,3.9,20,0,5.48,19,0.8,400,2,85,19,15
215,356,21,4.4,20,0,5.455,19,0.8,400,2,85,18,16
216,356,22,4.7,20,0,5.45,19,0.8,400,2,85,17,17
217,356,23,4.4,15,0,5.466,14,0.8,400,2,85,16,18
218,356,24,4.3,15,0,5.445,14,0.8,400,2,85,15,19
219,357,1,4.5,15,0,5.385,14,0.8,400,2,85,15,20
220,357,2,4.5,15,0,5.346,14,0.8,400,2,85,15,20
221,357,3,5.1,15,0,5.347,14,0.8,400,2,85,15,20
222,357,4,5.5,15,0,5.401,14,0.8,400,2,85,15,20
223,357,5,5.8,15,0,5.489,14,0.8,400,2,85,15,20
224,357,6,6.2,15,0,5.6,14,0.8,400,2,85,16,19
225,357,7,6.6,20,0,5.712,19,0.8,400,2,85,17,18
226,357,8,7.1,20,11.22222222,5.84,19,0.8,400,2,85,18,17
227,357,9,7.2,20,269.3333333,6.001,19,0.8,400,2,85,19,16
228,357,10,7.7,20,448.8888889,6.203,19,0.8,400,2,85,20,15
229,357,11,7.6,20,606,6.433,19,0.8,400,2,85,20,15
230,357,12,5.2,20,740.6666667,5.84,19,0.8,400,2,85,20,15
231,357,13,5.6,20,729.4444444,6.264,19,0.8,400,2,85,20,15
232,357,14,4.8,20,606,5.415,19,0.8,400,2,85,20,15
233,357,15,3.6,20,381.5555556,6.223,19,0.8,400,2,85,20,15
234,357,16,3.5,20,101,5.957,19,0.8,400,2,85,20,15
235,357,17,3.6,20,0,5.733,19,0.8,400,2,85,20,15
236,357,18,3.7,20,0,5.59,19,0.8,400,2,85,20,15
237,357,19,3.9,20,0,5.511,19,0.8,400,2,85,20,15
238,357,20,3.9,20,0,5.48,19,0.8,400,2,85,19,15
239,357,21,4.4,20,0,5.455,19,0.8,400,2,85,18,16
240,357,22,4.7,20,0,5.45,19,0.8,400,2,85,17,17
241,357,23,4.4,15,0,5.466,14,0.8,400,2,85,16,18
242,357,24,4.3,15,0,5.445,14,0.8,400,2,85,15,19
243,358,1,4.5,15,0,5.385,14,0.8,400,2,85,15,20
244,358,2,4.5,15,0,5.346,14,0.8,400,2,85,15,20
245,358,3,5.1,15,0,5.347,14,0.8,400,2,85,15,20
246,358,4,5.5,15,0,5.401,14,0.8,400,2,85,15,20
247,358,5,5.8,15,0,5.489,14,0.8,400,2,85,15,20
248,358,6,6.2,15,0,5.6,14,0.8,400,2,85,16,19
249,358,7,6.6,20,0,5.712,19,0.8,400,2,85,17,18
250,358,8,7.1,20,11.22222222,5.84,19,0.8,400,2,85,18,17
251,358,9,7.2,20,269.3333333,6.001,19,0.8,400,2,85,19,16
252,358,10,7.7,20,448.8888889,6.203,19,0.8,400,2,85,20,15
253,358,11,7.6,20,606,6.433,19,0.8,400,2,85,20,15
254,358,12,5.2,20,740.6666667,5.84,19,0.8,400,2,85,20,15
255,358,13,5.6,20,729.4444444,6.264,19,0.8,400,2,85,20,15
256,358,14,4.8,20,606,5.415,19,0.8,400,2,85,20,15
257,358,15,3.6,20,381.5555556,6.223,19,0.8,400,2,85,20,15
258,358,16,3.5,20,101,5.957,19,0.8,400,2,85,20,15
259,358,17,3.6,20,0,5.733,19,0.8,400,2,85,20,15
260,358,18,3.7,20,0,5.59,19,0.8,400,2,85,20,15
261,358,19,3.9,20,0,5.511,19,0.8,400,2,85,20,15
262,358,20,3.9,20,0,5.48,19,0.8,400,2,85,19,15
263,358,21,4.4,20,0,5.455,19,0.8,400,2,85,18,16
264,358,22,4.7,20,0,5.45,19,0.8,400,2,85,17,17
265,358,23,4.4,15,0,5.466,14,0.8,400,2,85,16,18
266,358,24,4.3,15,0,5.445,14,0.8,400,2,85,15,19
267,359,1,4.5,15,0,5.385,14,0.8,400,2,85,15,20
268,359,2,4.5,15,0,5.346,14,0.8,400,2,85,15,20
269,359,3,5.1,15,0,5.347,14,0.8,400,2,85,15,20
270,359,4,5.5,15,0,5.401,14,0.8,400,2,85,15,20
271,359,5,5.8,15,0,5.489,14,0.8,400,2,85,15,20
272,359,6,6.2,15,0,5.6,14,0.8,400,2,85,16,19
273,359,7,6.6,20,0,5.712,19,0.8,400,2,85,17,18
274,359,8,7.1,20,11.22222222,5.84,19,0.8,400,2,85,18,17
275,359,9,7.2,20,269.3333333,6.001,19,0.8,400,2,85,19,16
276,359,10,7.7,20,448.8888889,6.203,19,0.8,400,2,85,20,15
277,359,11,7.6,20,606,6.433,19,0.8,400,2,85,20,15
278,359,12,5.2,20,740.6666667,5.84,19,0.8,400,2,85,20,15
279,359,13,5.6,20,729.4444444,6.264,19,0.8,400,2,85,20,15
280,359,14,4.8,20,606,5.415,19,0.8,400,2,85,20,15
281,359,15,3.6,20,381.5555556,6.223,19,0.8,400,2,85,20,15
282,359,16,3.5,20,101,5.957,19,0.8,400,2,85,20,15
283,359,17,3.6,20,0,5.733,19,0.8,400,2,85,20,15
284,359,18,3.7,20,0,5.59,19,0.8,400,2,85,20,15
285,359,19,3.9,20,0,5.511,19,0.8,400,2,85,20,15
286,359,20,3.9,20,0,5.48,19,0.8,400,2,85,19,15
287,359,21,4.4,20,0,5.455,19,0.8,400,2,85,18,16
288,359,22,4.7,20,0,5.45,19,0.8,400,2,85,17,17
289,359,23,4.4,15,0,5.466,14,0.8,400,2,85,16,18
290,359,24,4.3,15,0,5.445,14,0.8,400,2,85,15,19
291,360,1,4.5,15,0,5.385,14,0.8,400,2,85,15,20
292,360,2,4.5,15,0,5.346,14,0.8,400,2,85,15,20
293,360,3,5.1,15,0,5.347,14,0.8,400,2,85,15,20
294,360,4,5.5,15,0,5.401,14,0.8,400,2,85,15,20
295,360,5,5.8,15,0,5.489,14,0.8,400,2,85,15,20
296,360,6,6.2,15,0,5.6,14,0.8,400,2,85,16,19
297,360,7,6.6,20,0,5.712,19,0.8,400,2,85,17,18
298,360,8,7.1,20,11.22222222,5.84,19,0.8,400,2,85,18,17
299,360,9,7.2,20,269.3333333,6.001,19,0.8,400,2,85,19,16
300,360,10,7.7,20,448.8888889,6.203,19,0.8,400,2,85,20,15
301,360,11,7.6,20,606,6.433,19,0.8,400,2,85,20,15
302,360,12,5.2,20,740.6666667,5.84,19,0.8,400,2,85,20,15
303,360,13,5.6,20,729.4444444,6.264,19,0.8,400,2,85,20,15
304,360,14,4.8,20,606,5.415,19,0.8,400,2,85,20,15
305,360,15,3.6,20,381.5555556,6.223,19,0.8,400,2,85,20,15
306,360,16,3.5,20,101,5.957,19,0.8,400,2,85,20,15
307,360,17,3.6,20,0,5.733,19,0.8,400,2,85,20,15
308,360,18,3.7,20,0,5.59,19,0.8,400,2,85,20,15
309,360,19,3.9,20,0,5.511,19,0.8,400,2,85,20,15
310,360,20,3.9,20,0,5.48,19,0.8,400,2,85,19,15
311,360,21,4.4,20,0,5.455,19,0.8,400,2,85,18,16
312,360,22,4.7,20,0,5.45,19,0.8,400,2,85,17,17
313,360,23,4.4,15,0,5.466,14,0.8,400,2,85,16,18
314,360,24,4.3,15,0,5.445,14,0.8,400,2,85,15,19
315,361,1,4.5,15,0,5.385,14,0.8,400,2,85,15,20
316,361,2,4.5,15,0,5.346,14,0.8,400,2,85,15,20
317,361,3,5.1,15,0,5.347,14,0.8,400,2,85,15,20
318,361,4,5.5,15,0,5.401,14,0.8,400,2,85,15,20
319,361,5,5.8,15,0,5.489,14,0.8,400,2,85,15,20
320,361,6,6.2,15,0,5.6,14,0.8,400,2,85,16,19
321,361,7,6.6,20,0,5.712,19,0.8,400,2,85,17,18
322,361,8,7.1,20,11.22222222,5.84,19,0.8,400,2,85,18,17
323,361,9,7.2,20,269.3333333,6.001,19,0.8,400,2,85,19,16
324,361,10,7.7,20,448.8888889,6.203,19,0.8,400,2,85,20,15
325,361,11,7.6,20,606,6.433,19,0.8,400,2,85,20,15
326,361,12,5.2,20,740.6666667,5.84,19,0.8,400,2,85,20,15
327,361,13,5.6,20,729.4444444,6.264,19,0.8,400,2,85,20,15
328,361,14,4.8,20,606,5.415,19,0.8,400,2,85,20,15
329,361,15,3.6,20,381.5555556,6.223,19,0.8,400,2,85,20,15
330,361,16,3.5,20,101,5.957,19,0.8,400,2,85,20,15
331,361,17,3.6,20,0,5.733,19,0.8,400,2,85,20,15
332,361,18,3.7,20,0,5.59,19,0.8,400,2,85,20,15
333,361,19,3.9,20,0,5.511,19,0.8,400,2,85,20,15
334,361,20,3.9,20,0,5.48,19,0.8,400,2,85,19,15
335,361,21,4.4,20,0,5.455,19,0.8,400,2,85,18,16
336,361,22,4.7,20,0,5.45,19,0.8,400,2,85,17,17
337,361,23,4.4,15,0,5.466,14,0.8,400,2,85,16,18
338,361,24,4.3,15,0,5.445,14,0.8,400,2,85,15,19
339,1,1,4.5,15,0,5.385,14,0.8,400,2,85,15,20
340,1,2,4.5,15,0,5.346,14,0.8,400,2,85,15,20
341,1,3,5.1,15,0,5.347,14,0.8,400,2,85,15,20
342,1,4,5.5,15,0,5.401,14,0.8,400,2,85,15,20
343,1,5,5.8,15,0,5.489,14,0.8,400,2,85,15,20
344,1,6,6.2,15,0,5.6,14,0.8,400,2,85,16,19
345,1,7,6.6,20,0,5.712,19,0.8,400,2,85,17,18
346,1,8,7.1,20,11.22222222,5.84,19,0.8,400,2,85,18,17
347,1,9,7.2,20,269.3333333,6.001,19,0.8,400,2,85,19,16
348,1,10,7.7,20,448.8888889,6.203,19,0.8,400,2,85,20,15
349,1,11,7.6,20,606,6.433,19,0.8,400,2,85,20,15
350,1,12,5.2,20,740.6666667,5.84,19,0.8,400,2,85,20,15
351,1,13,5.6,20,729.4444444,6.264,19,0.8,400,2,85,20,15
352,1,14,4.8,20,606,5.415,19,0.8,400,2,85,20,15
353,1,15,3.6,20,381.5555556,6.223,19,0.8,400,2,85,20,15
354,1,16,3.5,20,101,5.957,19,0.8,400,2,85,20,15
355,1,17,3.6,20,0,5.733,19,0.8,400,2,85,20,15
356,1,18,3.7,20,0,5.59,19,0.8,400,2,85,20,15
357,1,19,3.9,20,0,5.511,19,0.8,400,2,85,20,15
358,1,20,3.9,20,0,5.48,19,0.8,400,2,85,19,15
359,1,21,4.4,20,0,5.455,19,0.8,400,2,85,18,16
360,1,22,4.7,20,0,5.45,19,0.8,400,2,85,17,17
361,1,23,4.4,15,0,5.466,14,0.8,400,2,85,16,18
362,1,24,4.3,15,0,5.445,14,0.8,400,2,85,15,19
363,2,1,4.5,15,0,5.385,14,0.8,400,2,85,15,20
364,2,2,4.5,15,0,5.346,14,0.8,400,2,85,15,20
365,2,3,5.1,15,0,5.347,14,0.8,400,2,85,15,20
366,2,4,5.5,15,0,5.401,14,0.8,400,2,85,15,20
367,2,5,5.8,15,0,5.489,14,0.8,400,2,85,15,20
368,2,6,6.2,15,0,5.6,14,0.8,400,2,85,16,19
369,2,7,6.6,20,0,5.712,19,0.8,400,2,85,17,18
370,2,8,7.1,20,11.22222222,5.84,19,0.8,400,2,85,18,17
371,2,9,7.2,20,269.3333333,6.001,19,0.8,400,2,85,19,16
372,2,10,7.7,20,448.8888889,6.203,19,0.8,400,2,85,20,15
373,2,11,7.6,20,606,6.433,19,0.8,400,2,85,20,15
374,2,12,5.2,20,740.6666667,5.84,19,0.8,400,2,85,20,15
375,2,13,5.6,20,729.4444444,6.264,19,0.8,400,2,85,20,15
376,2,14,4.8,20,606,5.415,19,0.8,400,2,85,20,15
377,2,15,3.6,20,381.5555556,6.223,19,0.8,400,2,85,20,15
378,2,16,3.5,20,101,5.957,19,0.8,400,2,85,20,15
379,2,17,3.6,20,0,5.733,19,0.8,400,2,85,20,15
380,2,18,3.7,20,0,5.59,19,0.8,400,2,85,20,15
381,2,19,3.9,20,0,5.511,19,0.8,400,2,85,20,15
382,2,20,3.9,20,0,5.48,19,0.8,400,2,85,19,15
383,2,21,4.4,20,0,5.455,19,0.8,400,2,85,18,16
384,2,22,4.7,20,0,5.45,19,0.8,400,2,85,17,17
385,2,23,4.4,15,0,5.466,14,0.8,400,2,85,16,18
386,2,24,4.3,15,0,5.445,14,0.8,400,2,85,15,19
387,3,1,4.5,15,0,5.385,14,0.8,400,2,85,15,20
388,3,2,4.5,15,0,5.346,14,0.8,400,2,85,15,20
389,3,3,5.1,15,0,5.347,14,0.8,400,2,85,15,20
390,3,4,5.5,15,0,5.401,14,0.8,400,2,85,15,20
391,3,5,5.8,15,0,5.489,14,0.8,400,2,85,15,20
392,3,6,6.2,15,0,5.6,14,0.8,400,2,85,16,19
393,3,7,6.6,20,0,5.712,19,0.8,400,2,85,17,18
394,3,8,7.1,20,11.22222222,5.84,19,0.8,400,2,85,18,17
